Date,Open,High,Low,Close,Pre Settle,Settle,Volume,Open Interest,Turnover
2020-05-20,670.0,679.0,669.0,673.0,662.5,674.5,444.0,2521.0,29951.5
2020-05-19,657.0,674.0,657.0,674.0,651.0,662.5,239.0,2406.0,15834.25
2020-05-18,630.0,667.5,630.0,655.5,629.5,651.0,330.0,2376.0,21490.3
2020-05-15,623.0,639.0,620.5,638.5,620.5,629.5,531.0,2440.0,33440.4
2020-05-14,618.5,624.0,618.0,622.5,614.5,620.5,169.0,2447.0,10491.0
2020-05-13,615.5,619.0,609.0,618.5,608.0,614.5,207.0,2395.0,12720.15
2020-05-12,604.5,611.5,604.0,611.0,607.5,608.0,191.0,2386.0,11615.4
2020-05-11,608.5,612.0,603.0,603.5,608.5,607.5,139.0,2326.0,8448.9
2020-05-08,603.0,611.5,603.0,608.5,588.5,608.5,156.0,2301.0,9499.4
2020-05-07,588.0,598.5,588.0,598.0,588.0,588.5,847.0,2349.0,49880.45
2020-05-06,593.5,594.0,584.5,588.5,586.0,588.0,140.0,3080.0,8233.8
2020-04-30,581.0,588.5,579.5,588.5,574.0,586.0,87.0,3045.0,5099.45
2020-04-29,576.0,576.0,571.0,574.0,578.5,574.0,30.0,3051.0,1722.25
2020-04-28,580.0,585.0,573.0,573.0,585.0,578.5,75.0,3058.0,4340.35
2020-04-27,582.5,590.0,582.5,583.0,588.0,585.0,66.0,3065.0,3862.15
2020-04-24,585.5,592.5,584.5,586.0,591.0,588.0,61.0,3074.0,3589.75
2020-04-23,594.0,594.5,585.0,585.5,581.5,591.0,73.0,3075.0,4314.9
2020-04-22,575.5,590.5,575.0,590.5,586.5,581.5,65.0,3060.0,3781.85
2020-04-21,593.5,593.5,579.5,582.0,597.5,586.5,137.0,3062.0,8041.2
2020-04-20,594.0,600.0,590.0,598.5,590.5,597.5,238.0,3061.0,14230.9
2020-04-17,586.0,597.0,586.0,591.5,579.0,590.5,219.0,3093.0,12940.5
2020-04-16,580.5,587.5,572.5,582.0,586.5,579.0,265.0,3044.0,15348.75
2020-04-15,584.5,590.5,583.0,585.5,582.0,586.5,73.0,2958.0,4284.6
2020-04-14,575.5,586.5,574.0,584.5,576.5,582.0,134.0,2960.0,7804.65
2020-04-13,576.0,582.0,571.0,573.5,573.5,576.5,250.0,2927.0,14413.15
2020-04-10,574.0,580.0,568.5,576.0,572.0,573.5,147.0,2909.0,8436.15
2020-04-09,566.5,578.0,564.5,575.5,557.5,572.0,91.0,2940.0,5209.25
2020-04-08,548.0,566.0,548.0,566.0,549.5,557.5,164.0,2960.0,9145.15
2020-04-07,550.5,554.0,545.5,551.5,549.5,549.5,227.0,2950.0,12477.8
2020-04-03,549.0,564.5,545.0,549.5,541.0,549.5,441.0,2982.0,24243.25
2020-04-02,532.0,562.0,525.5,558.5,551.0,541.0,199.0,3318.0,10769.6
2020-04-01,561.5,561.5,535.0,539.0,555.5,551.0,380.0,3289.0,20949.95
2020-03-31,557.0,559.5,552.5,556.0,556.5,555.5,187.0,3104.0,10389.0
2020-03-30,561.5,563.0,549.5,554.5,574.0,556.5,187.0,3104.0,10408.55
2020-03-27,578.5,579.0,569.0,570.0,576.0,574.0,319.0,3076.0,18323.8
2020-03-26,579.0,580.0,571.5,574.5,578.0,576.0,115.0,3204.0,6624.35
2020-03-25,581.0,585.0,571.5,582.0,556.5,578.0,287.0,3223.0,16599.55
2020-03-24,552.5,574.0,544.5,572.0,550.0,556.5,476.0,3185.0,26500.4
2020-03-23,567.0,567.0,544.5,544.5,578.5,550.0,239.0,3210.0,13150.05
2020-03-20,602.0,604.0,565.0,571.5,582.5,578.5,285.0,3112.0,16491.6
2020-03-19,607.0,607.0,578.0,600.0,614.5,582.5,571.0,3121.0,33271.7
2020-03-18,600.5,620.0,599.0,605.5,598.0,614.5,355.0,3268.0,21827.4
2020-03-17,597.0,605.5,594.0,603.0,608.0,598.0,226.0,3526.0,13521.9
2020-03-16,608.0,610.5,598.5,600.0,605.0,608.0,145.0,3672.0,8816.55
2020-03-13,598.0,619.0,587.5,616.0,606.5,605.0,539.0,3760.0,32624.1
2020-03-12,605.0,611.5,600.0,608.5,610.5,606.5,257.0,4077.0,15596.25
2020-03-11,616.0,616.0,603.0,603.0,602.5,610.5,498.0,4100.0,30410.75
2020-03-10,595.5,615.0,595.5,613.0,588.0,602.5,187.0,4142.0,11275.15
2020-03-09,583.0,598.0,576.0,591.0,610.0,588.0,1234.0,4147.0,72599.65
2020-03-06,615.5,616.0,605.0,606.0,617.5,610.0,317.0,5177.0,19352.6
2020-03-05,619.0,620.0,614.0,616.5,613.5,617.5,70.0,5239.0,4323.6
2020-03-04,606.5,617.0,605.0,616.5,615.0,613.5,216.0,5241.0,13252.95
2020-03-03,615.0,622.0,607.5,607.5,602.5,615.0,272.0,5287.0,16733.6
2020-03-02,585.0,616.0,585.0,612.0,585.0,602.5,280.0,5350.0,16875.65
2020-02-28,590.0,593.5,576.0,585.5,601.5,585.0,406.0,5354.0,23766.65
2020-02-27,603.5,607.0,598.0,599.5,612.5,601.5,214.0,5434.0,12877.8
2020-02-26,620.5,620.5,606.5,607.0,620.0,612.5,201.0,5444.0,12314.0
2020-02-25,614.5,625.0,614.0,624.0,626.0,620.0,130.0,5460.0,8064.4
2020-02-24,627.0,630.0,617.0,625.0,626.5,626.0,298.0,5466.0,18664.55
2020-02-21,627.0,630.5,623.5,627.0,618.0,626.5,1447.0,5457.0,90720.35
2020-02-20,614.0,634.0,612.5,628.5,609.5,618.0,1122.0,5978.0,69360.65
2020-02-19,602.5,613.0,602.5,612.5,607.0,609.5,170.0,6071.0,10363.9
2020-02-18,603.0,613.0,600.5,605.5,598.5,607.0,259.0,6052.0,15733.5
2020-02-17,586.5,608.5,586.5,608.5,589.5,598.5,2497.0,6052.0,149517.7
2020-02-14,587.5,591.5,585.5,591.0,588.5,589.5,3382.0,8035.0,199396.1
2020-02-13,590.0,591.0,585.0,588.5,587.5,588.5,479.0,11308.0,28189.55
2020-02-12,584.0,591.0,583.5,588.0,579.0,587.5,231.0,11042.0,13572.55
2020-02-11,568.5,590.0,568.5,581.0,568.5,579.0,358.0,11133.0,20734.35
2020-02-10,564.0,571.5,564.0,567.5,570.0,568.5,183.0,11205.0,10403.7
2020-02-07,570.5,573.0,568.0,571.0,565.5,570.0,193.0,11220.0,11002.65
2020-02-06,560.0,575.5,558.0,572.5,557.0,565.5,482.0,11197.0,27280.85
2020-02-05,562.0,564.0,554.0,556.0,548.5,557.0,106.0,11107.0,5906.55
2020-02-04,538.0,569.5,533.5,559.0,552.0,548.5,688.0,11061.0,37761.75
2020-02-03,546.5,563.5,546.5,546.5,594.0,552.0,561.0,11041.0,30990.9
2020-01-23,604.0,606.5,584.5,589.0,604.5,594.0,446.0,10988.0,26493.8
2020-01-22,602.5,607.5,593.5,607.5,602.5,604.5,1498.0,10929.0,90619.45
2020-01-21,602.5,604.5,599.5,604.5,602.5,602.5,126.0,10324.0,7593.9
2020-01-20,602.5,605.0,600.5,604.0,598.5,602.5,88.0,10310.0,5303.6
2020-01-17,593.5,603.0,593.5,603.0,596.0,598.5,347.0,10307.0,20785.0
2020-01-16,592.0,600.0,591.5,592.0,596.0,596.0,360.0,10233.0,21464.9
2020-01-15,596.0,600.0,592.5,592.5,597.0,596.0,228.0,10281.0,13591.85
2020-01-14,589.0,600.0,589.0,597.0,590.0,597.0,573.0,10234.0,34214.45
2020-01-13,591.0,594.0,586.0,589.0,592.5,590.0,2001.0,9738.0,118137.15
2020-01-10,592.5,594.0,589.0,592.0,600.5,592.5,435.0,8073.0,25787.65
2020-01-09,604.5,606.0,590.0,591.0,603.0,600.5,1723.0,7692.0,103482.4
2020-01-08,596.5,607.0,596.5,606.0,594.5,603.0,828.0,6055.0,49937.6
2020-01-07,595.0,596.5,592.5,595.0,592.0,594.5,211.0,5479.0,12553.7
2020-01-06,591.0,597.0,588.0,597.0,593.0,592.0,1776.0,5471.0,105168.05
2020-01-03,587.0,595.5,586.0,591.0,587.0,593.0,609.0,5889.0,36122.65
2020-01-02,588.0,591.5,583.0,586.0,579.5,587.0,471.0,5562.0,27667.4
2019-12-31,579.0,583.0,578.5,581.0,578.0,579.5,80.0,5664.0,4637.5
2019-12-30,578.0,581.5,576.0,576.0,576.0,578.0,108.0,11234.0,6242.4
2019-12-27,575.5,579.5,572.0,575.5,575.5,576.0,1388.0,11194.0,79998.5
